,en_1700,en_1700_d,en_1720,en_1720_d,en_1740,en_1740_d,en_1760,en_1760_d,en_1780,en_1780_d,en_1800,en_1800_d,en_1820,en_1820_d,en_1840,en_1840_d,en_1860,en_1860_d,en_1880,en_1880_d,en_1900,en_1900_d,en_1920,en_1920_d,en_1940,en_1940_d
21,dantzic,0.567,peterf,0.674,stettin,0.54,ratifbon,0.63,vickerman,0.691,petertburgh,0.634,cronstadt,0.732,petershurg,0.866,letersburg,0.842,patersburg,0.86,copenhagen,0.645,georgia,0.437,basilica,0.405
22,warsaw,0.567,holm,0.669,gottenburg,0.538,altena,0.63,archangel,0.686,meinel,0.63,etersburgh,0.73,pctersburg,0.863,potersburgh,0.841,ptersburg,0.857,mukden,0.644,ephesus,0.436,gusev,0.404
23,gottenburgh,0.564,tersburg,0.668,zick,0.538,pcterlburgh,0.626,peterfburgh,0.68,pillau,0.627,letersburgh,0.727,petersbuig,0.861,petorsburgh,0.841,petersborg,0.853,warsaw,0.643,gudule,0.435,villeneuve,0.399
24,gottemberg,0.561,archangel,0.662,holm,0.536,hague,0.618,koninglburg,0.68,koningsberg,0.627,petersburgi,0.726,peiersburgh,0.859,petersbnrgh,0.835,petersbug,0.852,berlin,0.643,romanoffs,0.435,wolkoff,0.399
25,gottenburg,0.561,danizick,0.657,amfterdam,0.536,conftantinople,0.613,wifmar,0.678,liebau,0.623,tersburg,0.726,petersbur,0.859,petesburg,0.834,petesburg,0.851,kuropatkin,0.642,bourges,0.435,valery,0.399
26,hagen,0.559,dantzic,0.655,mofcow,0.534,madrid,0.611,elsinore,0.676,memel,0.622,petersborgh,0.721,petersborgh,0.858,petersborg,0.834,ipetersburg,0.849,vienna,0.641,lycee,0.434,biarritz,0.398
27,kopenhagen,0.556,danrzick,0.655,narva,0.532,hambourg,0.611,peteriburgh,0.674,pcterfburgh,0.617,peiersburgh,0.719,ietersburg,0.858,peersburg,0.833,petorsburg,0.848,slovo,0.641,lazare,0.433,pavlova,0.398
28,finland,0.552,mofcow,0.652,stetin,0.531,conltantinople,0.611,dantzick,0.673,stettin,0.611,petershurg,0.718,ietersburgh,0.857,petersbiurg,0.832,petersburr,0.844,potrograd,0.637,faubourg,0.433,1905,0.396
29,carelscroon,0.549,warsaw,0.652,archangel,0.528,conflantinople,0.61,elbing,0.673,hamburg,0.611,copenhagen,0.718,pctcrsburgh,0.852,peteriburg,0.825,petersburc,0.842,vladivostok,0.636,lenin,0.432,1898,0.396
30,stetin,0.545,dresden,0.644,hambourg,0.522,mofcow,0.609,pernau,0.671,peterlburg,0.609,petersburgl,0.715,peteisburg,0.852,petersbu,0.825,fetersburg,0.839,omsk,0.634,paris,0.432,francoprussian,0.395
31,hamburg,0.543,pctersbourg,0.643,gottenburgh,0.521,confiantinople,0.608,galipoly,0.67,gottenburgh,0.607,archangel,0.712,stockholm,0.845,pctersburgh,0.824,peteriburg,0.839,viedomosti,0.634,tubingen,0.431,columbus,0.393
32,holm,0.542,koningsburg,0.627,marfeilles,0.518,turin,0.604,pcterlburg,0.667,konigsburg,0.607,tersburgh,0.71,etersburg,0.844,petcrsburg,0.823,petersbirg,0.836,sakharoff,0.631,tsar,0.43,abdicated,0.391
33,caminiec,0.533,berlin,0.624,hagen,0.517,terfburgh,0.602,liebau,0.667,amsterdam,0.606,petereburgh,0.704,stpetersburg,0.842,fetersburg,0.823,petersburo,0.835,guntzuling,0.621,berlin,0.43,scutari,0.39
34,carelfcroon,0.529,constantinople,0.622,leghorn,0.517,ratisbon,0.597,ubes,0.665,petcrfburgh,0.606,narva,0.694,potersburg,0.842,petcrsburgh,0.823,petersbuirg,0.835,seoul,0.619,napoleon,0.429,doctorate,0.39
