,en_1700,en_1700_d,en_1720,en_1720_d,en_1740,en_1740_d,en_1760,en_1760_d,en_1780,en_1780_d,en_1800,en_1800_d,en_1820,en_1820_d,en_1840,en_1840_d,en_1860,en_1860_d,en_1880,en_1880_d,en_1900,en_1900_d,en_1920,en_1920_d,en_1940,en_1940_d
36,anointed,0.334,rightful,0.361,prayr,0.389,fceptre,0.379,bethells,0.455,shuttlecock,0.469,philistine,0.437,czar,0.658,dethroned,0.67,statesnan,0.688,usurper,0.464,sultanate,0.452,islam,0.443
37,bleflings,0.334,tyrant,0.358,knavery,0.389,sove,0.378,syphon,0.455,hyacinthus,0.469,tvrant,0.434,potentates,0.655,oligarchy,0.669,politician,0.687,cracy,0.464,cetewayo,0.452,enver,0.443
38,bleffed,0.334,thee,0.356,mercies,0.388,reveres,0.375,sweetwilliam,0.454,giantess,0.469,conqueror,0.434,viceroy,0.654,subservience,0.666,ascendancy,0.687,heirapparent,0.464,habibullah,0.451,coneyhurst,0.443
39,cbrift,0.332,fway,0.355,zion,0.387,legiflative,0.374,peirfes,0.453,alaric,0.468,shah,0.434,roumania,0.654,power—and,0.665,ascendency,0.687,tyrant,0.464,chivalric,0.451,gogetter,0.443
40,guardian,0.332,hearts,0.354,folving,0.387,wifdom,0.373,pontifex,0.453,moorcock,0.466,glory,0.433,moslem,0.653,submissive,0.665,supporter,0.686,dictators,0.46,mahometan,0.449,jailbird,0.443
41,believers,0.331,curfe,0.352,explore,0.387,righteoufnefs,0.373,protestor,0.453,danm,0.465,jehovah,0.432,omnipotent,0.653,tutelage,0.663,domination,0.685,appanage,0.459,nejd,0.448,yasmeen,0.443
42,contempt,0.33,thy,0.352,awful,0.386,judge,0.373,imperator,0.451,ielding,0.465,mightiest,0.429,vicegerent,0.653,legislator,0.663,cendency,0.685,rule—the,0.459,islam,0.444,engraver,0.442
43,glories,0.33,wifeft,0.352,heavns,0.386,hearts,0.372,grofvcnors,0.449,teddy,0.465,monaich,0.429,sovereignty,0.652,submissiveness,0.66,etatesman,0.684,swashbuckling,0.458,buddha,0.444,prelate,0.442
44,blefs,0.33,monarchical,0.351,god,0.386,tyrannize,0.372,boudrow,0.447,gamenut,0.465,lawgivers,0.427,legislator,0.651,tyrant,0.658,rulera,0.683,dictator,0.458,autocrat,0.444,synonym,0.441
45,preparative,0.329,glory,0.351,obey,0.386,thrones,0.372,trumpator,0.447,mambrino,0.464,demigod,0.427,viceregent,0.65,apologist,0.658,diplomatist,0.682,abdicated,0.458,exalted,0.443,eunuch,0.441
46,governs,0.329,oppressors,0.351,skies,0.383,mcrcy,0.371,florizel,0.447,dam,0.464,alonarch,0.426,dominions,0.649,proconsul,0.657,autonomy,0.682,autocrat,0.458,dignitary,0.442,wilwyn,0.441
47,temporal,0.328,heavns,0.351,heavnly,0.383,blelling,0.371,marfk,0.443,abba,0.463,allwise,0.426,shiek,0.649,statesman,0.655,despotism,0.682,destinies,0.456,imbroglio,0.44,paradiso,0.44
48,punishments,0.328,curse,0.351,behold,0.383,controuling,0.371,stapletons,0.442,vespasian,0.462,pacolet,0.424,despotism,0.649,counsellors,0.653,overlordship,0.681,symbol,0.456,feng,0.44,incantation,0.44
49,chrifts,0.328,adore,0.351,complacency,0.381,powr,0.37,burdons,0.442,glaucus,0.462,ruling,0.424,semibarbarian,0.647,marshalate,0.653,statesmana,0.681,monarchy,0.455,prelate,0.439,legend,0.44
50,poral,0.328,progeny,0.35,adorns,0.381,blefs,0.369,fenwicks,0.441,plaything,0.462,sceptred,0.424,universe,0.647,empire,0.652,denouncer,0.68,inspirer,0.452,beggar,0.438,balrath,0.44
51,power,0.327,blefs,0.35,affedtion,0.379,wrath,0.369,marik,0.441,tyrannic,0.462,monarcbs,0.424,monarchs,0.646,halfbarbarous,0.651,coreligionist,0.68,deity,0.452,tribes,0.437,legendary,0.439
52,bijhops,0.327,defender,0.35,fway,0.379,thine,0.369,grorvenors,0.441,corsican,0.461,ruleth,0.423,padishah,0.645,absolutism,0.651,monarchy,0.679,democracy,0.452,exile,0.437,fang,0.439
53,behold,0.326,subordinate,0.349,monarchs,0.378,mirrour,0.369,filly,0.44,gohanna,0.461,osiris,0.423,usurpation,0.645,bureaucracy,0.649,protege,0.677,dictatorship,0.45,monarch,0.437,rascal,0.439
54,guide,0.325,interpreting,0.345,happinels,0.377,ditates,0.368,plaything,0.438,domineering,0.461,monarchs,0.421,satan,0.643,destiuies,0.649,ministership,0.677,puissant,0.448,brigand,0.437,phylleen,0.439
55,redeemer,0.325,faitb,0.345,leffon,0.376,saviour,0.367,bladud,0.438,daui,0.461,warrior,0.42,suzerain,0.641,emancipator,0.649,peaceatanyprice,0.677,protector,0.448,tyrants,0.436,cobaltic,0.438
56,senfe,0.324,dominion,0.344,fentiment,0.376,delegated,0.367,tantrum,0.437,skyscraper,0.46,caliphs,0.42,intriguer,0.64,enslaved,0.648,disciple,0.677,oligarchy,0.446,statesman,0.436,shah,0.438
57,awful,0.324,esteems,0.343,pronouncing,0.376,wildom,0.366,meteor,0.436,pator,0.46,mahomet,0.42,sultan,0.64,empireand,0.648,omnipotent,0.676,sovereign,0.446,abdicates,0.436,prizefighter,0.438
58,tyrant,0.324,smiles,0.343,emulation,0.376,rightful,0.365,drone,0.435,skyrocket,0.459,arbitress,0.419,popedom,0.639,despotio,0.647,bureaucrat,0.676,disciple,0.446,heirapparent,0.435,chiffchaff,0.438
59,repugnant,0.324,happier,0.343,glories,0.376,ifrael,0.365,dlam,0.434,delpiui,0.459,sultan,0.418,abderrahman,0.638,viceemperor,0.645,tatesman,0.676,monarohs,0.446,sovereignity,0.434,howdah,0.437
60,dependent,0.324,proudly,0.343,hearts,0.375,wifeft,0.364,eclipfc,0.434,restless,0.459,rebellious,0.418,proconsul,0.637,sovereignity,0.645,discrowned,0.676,emperorking,0.446,despotism,0.434,takadiastase,0.437
61,governed,0.324,controul,0.343,wildom,0.375,reignty,0.364,marsk,0.434,pegasus,0.458,turk,0.418,supreme,0.636,renegade,0.645,rnlers,0.675,reignty,0.444,judea,0.434,phenomene,0.437
62,natures,0.324,maxims,0.342,scriptural,0.375,fubordinate,0.363,goldfinder,0.432,chaunter,0.455,pharaoh,0.418,despots,0.636,panegyrist,0.644,archenemy,0.675,omnipotent,0.444,khama,0.434,justinian,0.436
63,deliverer,0.323,evermore,0.34,love,0.375,ruling,0.363,pyrrhus,0.432,giandam,0.455,puppet,0.417,traitor,0.636,thronea,0.643,bureaucracy,0.675,constitutionalism,0.444,abdur,0.434,syritha,0.436
64,inftruments,0.322,minion,0.34,confpire,0.374,blefiing,0.363,hutchinsons,0.432,fortunio,0.454,czar,0.416,ambition,0.635,despiser,0.643,nonaggressive,0.674,emperor,0.444,vizier,0.434,combinard,0.436
65,felicity,0.321,bleft,0.34,deportment,0.374,wifdomn,0.363,fallons,0.432,chuckle,0.453,mahommed,0.416,ruiler,0.632,peaceoffering,0.643,ruler—,0.674,politician,0.442,mahmud,0.433,sheik,0.436
66,creeds,0.321,pliin,0.34,extremes,0.374,hcaven,0.362,woodpecker,0.431,barbarian,0.452,satrap,0.416,puppet,0.631,ishmaelite,0.643,parliamentarian,0.674,diplomatist,0.442,despots,0.433,platitude,0.435
67,monarch,0.321,bravest,0.339,inferiors,0.373,faviour,0.362,pumpkin,0.431,grandani,0.452,cesario,0.415,caliphate,0.631,ralers,0.642,peaceloving,0.674,reign,0.442,brahmin,0.432,feylite,0.435
68,presbyters,0.321,presides,0.339,defpotic,0.372,legillative,0.362,javelin,0.43,crafty,0.452,sway,0.415,mouarch,0.63,demooracy,0.642,reformer,0.673,henchman,0.442,bedouin,0.431,rebel,0.435
69,sentences,0.32,ruling,0.338,orthodox,0.372,blels,0.361,wittys,0.43,vandal,0.451,israel,0.414,shah,0.629,czardom,0.642,papist,0.672,republicanism,0.441,brahmins,0.431,woodtap,0.435
