,en_1620,en_1620_d,en_1640,en_1640_d,en_1660,en_1660_d,en_1680,en_1680_d,en_1700,en_1700_d,en_1720,en_1720_d,en_1740,en_1740_d,en_1760,en_1760_d,en_1780,en_1780_d,en_1800,en_1800_d,en_1820,en_1820_d,en_1840,en_1840_d,en_1860,en_1860_d,en_1880,en_1880_d,en_1900,en_1900_d,en_1920,en_1920_d,en_1940,en_1940_d
50,know,0.397,dc,0.328,nimeguen,0.351,holstein,0.38,kof,0.391,qjeen,0.486,kino,0.479,sweden,0.547,kinrg,0.626,kitng,0.575,kivg,0.661,kitig,0.718,kinig,0.756,kikg,0.699,kin®,0.577,feisal,0.535,aidedecamp,0.412
51,bad,0.395,he,0.327,proceed,0.351,brandenburgh,0.378,piince,0.39,emperor,0.485,majefly,0.479,kilng,0.547,kina,0.625,kina,0.573,kidg,0.657,hanover,0.717,kitg,0.754,vjueen,0.698,kin™,0.575,hellenes,0.531,duko,0.411
52,law,0.393,ana,0.326,molt,0.35,embassy,0.378,archdutchess,0.39,qucen,0.484,qecn,0.478,prulia,0.546,kmg,0.625,1king,0.573,killg,0.657,queeu,0.717,kinar,0.749,kinig,0.695,edward,0.574,kimg,0.53,tsouderos,0.41
53,he,0.391,el,0.325,cologne,0.35,intendant,0.377,sweden,0.388,kini,0.477,majefty,0.474,kino,0.545,khig,0.62,killg,0.572,kintr,0.656,klng,0.717,kirig,0.749,qusen,0.695,kinjf,0.573,prince,0.53,bucking,0.409
54,their,0.39,a,0.325,designs,0.346,puke,0.376,regent,0.388,ofking,0.476,emperor,0.474,kirng,0.542,kixg,0.62,kin,0.568,majestv,0.655,kipg,0.716,kying,0.748,qaeeu,0.694,kirig,0.571,majesties,0.529,raczynski,0.407
55,poland,0.389,mar,0.323,likewise,0.343,palatin,0.376,qpeen,0.386,kingt,0.471,kine,0.474,kinz,0.539,khing,0.617,kinir,0.567,kipg,0.654,killg,0.711,kivg,0.746,3king,0.693,theking,0.57,edward,0.528,edwardst,0.407
56,em,0.387,but,0.323,empire,0.342,landtgrave,0.375,usurper,0.385,prussia,0.469,ueen,0.47,majefty,0.537,kinq,0.615,kidg,0.562,alajesty,0.654,kinsg,0.708,ksing,0.744,kcing,0.693,kitig,0.569,jving,0.526,princesses,0.407
57,warlike,0.383,au,0.323,received,0.342,birthday,0.374,minister,0.384,stanistaus,0.464,staniflaus,0.47,empreis,0.531,queen,0.614,kingi,0.556,kinjr,0.652,queen,0.707,klng,0.742,kin™,0.691,vueen,0.569,kini,0.523,frederik,0.406
58,whom,0.383,people,0.323,preparing,0.342,court,0.374,spain,0.38,quecn,0.464,qgeen,0.467,kisg,0.531,kinag,0.613,ofsweden,0.555,kinj,0.651,kingl,0.706,kinsg,0.741,queea,0.689,qneen,0.567,—king,0.522,kmc,0.403
59,word,0.382,happy,0.322,resolved,0.341,marquis,0.371,icing,0.38,kink,0.463,polands,0.465,monarch,0.528,kingr,0.611,kinrg,0.548,1king,0.647,leopold,0.706,kinj,0.74,cjueen,0.689,qieen,0.565,jueen,0.517,waycotts,0.402
