,en_1640,en_1640_d,en_1660,en_1660_d,en_1680,en_1680_d,en_1700,en_1700_d,en_1720,en_1720_d,en_1740,en_1740_d,en_1760,en_1760_d,en_1780,en_1780_d,en_1800,en_1800_d,en_1820,en_1820_d,en_1840,en_1840_d,en_1860,en_1860_d,en_1880,en_1880_d,en_1900,en_1900_d,en_1920,en_1920_d,en_1940,en_1940_d
21,commanded,0.38,poland,0.418,lorraine,0.401,eneral,0.461,geaeral,0.618,gcncral,0.592,gineral,0.646,gcncral,0.727,jeneral,0.686,generl,0.725,feneral,0.817,geaeral,0.874,genefal,0.872,creneral,0.67,seneral,0.735,gereral,0.571
22,qf,0.379,denmark,0.415,sieur,0.396,nerals,0.458,geperal,0.614,thegeneral,0.58,gtneral,0.635,gerieral,0.713,genieral,0.685,grneral,0.725,ieneral,0.816,teneral,0.873,gederal,0.872,tieneral,0.664,genaral,0.727,enera,0.567
23,tr,0.376,deputies,0.414,plenipotentiary,0.396,colonel,0.453,generat,0.603,central,0.568,geeral,0.633,ceneral,0.709,genrral,0.682,geteral,0.724,neral,0.81,genetal,0.872,generar,0.871,seneral,0.663,geieral,0.727,rjeneral,0.555
24,advice,0.376,audience,0.414,commissary,0.394,morner,0.449,ncral,0.598,gene,0.546,geieral,0.631,geaeral,0.704,geiieral,0.68,generul,0.721,ganeral,0.81,feneral,0.872,genernl,0.871,geneml,0.659,feneral,0.725,eeneral,0.552
25,cent,0.373,ambassador,0.413,lorrain,0.39,velt,0.447,genral,0.591,geeral,0.532,gerieral,0.621,geeral,0.698,reneral,0.68,genernl,0.718,genenl,0.809,geieral,0.869,generul,0.87,geieral,0.649,generl,0.722,gen,0.54
26,french,0.371,matters,0.413,maresehal,0.389,hauben,0.444,geeral,0.589,ageneral,0.51,geueral,0.621,gentral,0.695,geaeral,0.679,genral,0.713,genrral,0.808,genenal,0.867,genenal,0.87,genaral,0.647,gensral,0.715,cieneral,0.53
27,iii,0.369,treat,0.411,vaudemont,0.385,obdam,0.44,gene,0.587,gen,0.499,ncral,0.612,grneral,0.694,generali,0.677,geseral,0.708,geoeral,0.807,generat,0.865,genesal,0.869,gneral,0.646,genernl,0.707,oenerai,0.493
28,defires,0.366,civil,0.409,marshal,0.383,zumjungen,0.438,ieneral,0.587,ncral,0.498,gencial,0.611,getieral,0.69,gtneral,0.675,feneral,0.702,genetal,0.807,generd,0.865,seneral,0.869,generad,0.644,grneral,0.706,generals,0.488
29,dated,0.365,imperial,0.404,brabant,0.38,major,0.431,gener,0.585,lieutenantgeneral,0.487,generaf,0.607,ieneral,0.69,geheral,0.674,gereral,0.699,genekal,0.807,aeneral,0.863,grneral,0.868,treneral,0.643,genersl,0.702,—gen,0.486
30,fir,0.365,empire,0.403,suabia,0.379,counc,0.429,geieral,0.566,ltgen,0.483,ganeral,0.599,gener,0.683,grneral,0.674,igeneral,0.699,generd,0.806,oeneral,0.863,gemeral,0.868,gemeral,0.638,teneral,0.699,eisen,0.484
