,en_1780,en_1780_d,en_1800,en_1800_d,en_1820,en_1820_d,en_1840,en_1840_d,en_1860,en_1860_d,en_1880,en_1880_d,en_1900,en_1900_d,en_1920,en_1920_d,en_1940,en_1940_d
42,nefarious,0.454,difcuffed,0.45,devel,0.45,nourished,0.633,manifest,0.628,ramified,0.671,recuperated,0.458,accentuated,0.461,revolutionised,0.471
43,cvinced,0.454,complicate,0.449,strikingly,0.449,demonstrable,0.633,studied,0.628,development,0.671,engendered,0.456,developer,0.461,activity,0.471
44,realised,0.453,promulgated,0.449,combativeness,0.448,ameliorated,0.633,robustness,0.627,dveloped,0.67,attained,0.456,absorbed,0.456,manifest,0.47
45,unfolding,0.452,counteracted,0.449,generalizing,0.446,emplified,0.632,levelopment,0.627,fructified,0.669,develo,0.456,quickened,0.456,imparted,0.47
46,anticipated,0.452,characterised,0.448,strative,0.445,aceomplished,0.632,evidenced,0.626,develop,0.669,diminished,0.455,influenced,0.455,conceived,0.469
47,falfity,0.452,iniquity,0.447,developments,0.444,utilised,0.632,develops,0.626,develope,0.666,elaborated,0.455,permeated,0.453,engendered,0.468
48,didtated,0.451,plicated,0.447,demonstrate,0.442,developmentof,0.63,instilled,0.625,normally,0.665,relapse,0.453,devel,0.453,reestablished,0.468
49,contradicted,0.451,denouement,0.446,destructiveness,0.441,undeveloped,0.63,imbued,0.624,elaborated,0.662,ramified,0.453,unsettling,0.45,hampered,0.466
50,demonflrated,0.451,unfolds,0.445,confuted,0.44,lopment,0.63,developmentof,0.622,magnified,0.662,developments,0.453,chocked,0.45,proved,0.466
51,fufpecled,0.45,detail,0.445,revealed,0.44,imbued,0.629,imbibed,0.621,broadened,0.661,repressed,0.451,velops,0.449,observable,0.465
52,reconciled,0.45,ramifications,0.445,detailed,0.44,sketched,0.629,strengthened,0.621,undeveloped,0.661,somewhat,0.451,transformed,0.449,projected,0.464
53,dispelled,0.449,development,0.444,comprehensively,0.44,stimulated,0.629,stimulated,0.619,exemplified,0.66,recrudescence,0.451,noticeable,0.448,cohesive,0.464
54,transpire,0.449,reproduced,0.444,undeveloped,0.439,exhaustive,0.627,ramified,0.618,overcome,0.66,fluctuating,0.451,relapse,0.448,opment,0.464
55,contradided,0.449,inconclusive,0.444,displayed,0.439,mnatured,0.627,pervasive,0.618,transmuted,0.658,coordinated,0.449,dissipated,0.448,started,0.464
56,convinced,0.448,frustrated,0.444,discernible,0.438,develops,0.626,disseminated,0.617,alfected,0.658,countermining,0.449,developes,0.447,potentialities,0.463
57,maturing,0.448,subdued,0.443,investigates,0.436,localized,0.626,equable,0.616,afiected,0.658,ripened,0.449,development,0.445,strengthened,0.463
58,cxplained,0.448,betrayed,0.442,picted,0.436,discriminated,0.625,cultivated,0.614,resuscitated,0.658,shakeout,0.449,localised,0.445,reacted,0.461
59,subdued,0.447,clearly,0.441,pourtrays,0.432,caltivated,0.625,vivified,0.614,intractable,0.658,oonfliot,0.448,predisposition,0.445,expanded,0.459
