,sv_1760,sv_1760_d,sv_1780,sv_1780_d,sv_1800,sv_1800_d,sv_1820,sv_1820_d,sv_1840,sv_1840_d,sv_1860,sv_1860_d,sv_1880,sv_1880_d,sv_1900,sv_1900_d
24,bestä,0.81,förföljelse,0.637,klubb,0.534,fueros,0.506,tulllagstiftning,0.535,nedsättning,0.515,redaktionsförändring,0.512,utskottsbehandling,0.491
25,skada,0.81,klubb,0.637,betydenhet,0.534,reduktion,0.504,reglementarisk,0.535,formulering,0.514,förtydligande,0.511,äktenskapslagstiftning,0.491
26,sammanhang,0.81,revolution,0.637,kanton,0.533,upphäfvandet,0.503,bankoverk,0.533,stängsellag,0.513,grufvestadgan,0.507,sörändring,0.489
27,fdr,0.81,stel,0.636,tidningspapper,0.533,initiativ,0.502,penningeställningen,0.533,stängselförordning,0.513,detaljförändring,0.507,näringslifvet,0.486
28,somlige,0.81,föreskrift,0.635,tillägg,0.531,ärendernas,0.5,bränwinslagstiftningen,0.532,redaktionsförändringar,0.512,redaktionsändring,0.506,lagtext,0.486
29,tilhöra,0.809,wärkan,0.635,ledamöterne,0.53,tillkomst,0.5,brottmålslag,0.532,sakrätt,0.512,förenkling,0.505,lagenlighet,0.486
30,inbördes,0.809,betraktande,0.634,afbryta,0.53,framställdt,0.5,tullväsen,0.53,grundlagsbud,0.51,bättring,0.505,grundlagsbestämmelse,0.486
31,likhet,0.809,process,0.633,borttagande,0.53,reglering,0.499,fueros,0.53,handelsordning,0.506,utskottsbehandling,0.504,skatteförhållande,0.485
32,förtryck,0.809,dcl,0.633,planet,0.529,skiljaktighet,0.499,förbättring,0.529,dissenterlag,0.506,forändring,0.504,sakfråga,0.485
33,arrest,0.808,ärfarenhet,0.633,existera,0.528,upphörande,0.499,grundlagsförändring,0.527,besutenhet,0.503,skärpning,0.499,mellanriks,0.485
34,tanke,0.808,odräglig,0.632,derutur,0.528,crisis,0.499,aflöningssätt,0.527,föråndring,0.503,lagbeslut,0.499,rättssystem,0.484
35,närwaro,0.807,plägsed,0.632,rolighet,0.528,förfogande,0.498,tjensteåligganden,0.527,valcensus,0.502,omflyttning,0.499,utväxling,0.483
36,förmon,0.807,liknelse,0.632,motarbeta,0.527,tractat,0.498,representationssätt,0.526,fattigvårdsförordning,0.502,kursfördelning,0.499,stadgauden,0.482
37,kränka,0.806,rolighet,0.631,engclste,0.525,indragning,0.498,punktvis,0.526,aflöningssätt,0.502,valkretsarnes,0.498,sörändringar,0.481
38,utbre,0.806,listighet,0.631,politisk,0.524,afstyrka,0.497,riksakt,0.526,widlagas,0.502,renhållningsstadga,0.497,skärpning,0.481
39,förändra,0.805,protestant,0.631,traktat,0.523,lagstadgande,0.496,pärs,0.524,beskattningsfråga,0.501,tnllsatser,0.497,komiléns,0.48
40,tjänstefolk,0.805,oräknelig,0.63,observation,0.523,prisförändring,0.496,bankoreglemente,0.524,lagförändring,0.501,undantagsbestämmelse,0.497,personombyte,0.48
41,utsprida,0.805,sammansätta,0.629,hedning,0.522,misshällighet,0.496,tidsförhållande,0.524,stadgauden,0.5,dikningslag,0.497,förtydligande,0.479
42,stadeliga,0.805,hedning,0.629,sräga,0.522,nationalrepresentation,0.496,myntvärde,0.524,befordringsfråga,0.499,personombyte,0.496,undantagsförhållande,0.478
43,funno,0.805,lagom,0.629,fortgång,0.522,proposition,0.495,grundlagsförslag,0.524,systemförändring,0.499,omarbetning,0.495,krigslagstiftning,0.477
44,myndighet,0.805,wisterligen,0.628,term,0.522,omflyttning,0.495,civillag,0.523,afsåg,0.499,inteckningsförordning,0.494,afskrifningsplan,0.476
45,besynnerligen,0.805,korthet,0.628,basis,0.521,grannrike,0.495,grundfel,0.522,förmildring,0.498,afweckling,0.494,retouchering,0.476
46,medföra,0.805,folkslag,0.628,process,0.521,utfärdande,0.495,föreslagen,0.522,reform,0.498,stängsellag,0.493,melserna,0.476
