,sv_1800,sv_1800_d,sv_1820,sv_1820_d,sv_1840,sv_1840_d,sv_1860,sv_1860_d,sv_1880,sv_1880_d,sv_1900,sv_1900_d
14,pius,0.767,organisk,0.669,tidsålder,0.613,tidräkning,0.589,nomadfolk,0.569,riksdagshistoria,0.568
15,ganfla,0.767,grassera,0.669,framfaren,0.612,folkfamilj,0.588,riksdagshistoria,0.568,tidsskede,0.568
16,koncert,0.766,crisis,0.668,korståg,0.606,hvälfning,0.586,vändpunkt,0.568,vändpunkt,0.568
17,ofördelaktig,0.766,europas,0.667,lifvadt,0.605,konstart,0.583,tidsskede,0.568,storhetstid,0.568
18,upmarksamhet,0.765,förderflig,0.667,tideräkning,0.605,evenement,0.582,heroer,0.565,heroer,0.565
19,philosoph,0.765,statshushållning,0.666,samhällslif,0.605,tiderymd,0.58,tidehvarfvet,0.564,tidehvarfvet,0.564
20,hölt,0.765,geograf,0.666,germanisk,0.602,vapenbragd,0.578,cykel,0.563,tidebok,0.56
21,förbundsdag,0.765,förnedring,0.664,ideel,0.602,alltintill,0.577,menniskoandens,0.56,menniskoandens,0.56
22,hedning,0.765,kabinetter,0.664,aristoteles,0.601,omhvälfningar,0.577,nationallynne,0.556,blomstringstid,0.558
23,ärhundradet,0.764,styrelseform,0.663,samhällsförhållande,0.601,skådebana,0.573,verldshändelse,0.554,nationallynne,0.556
24,borttagande,0.764,attentat,0.662,episk,0.6,goldschmidts,0.573,blomstringstid,0.554,verldshändelse,0.554
25,beryktad,0.764,province,0.662,lifsfråga,0.599,keramik,0.572,romandiktning,0.553,romandiktning,0.553
26,uppstä,0.763,betydelsefull,0.662,krigskonst,0.599,diktare,0.569,sjökonung,0.552,sjökonung,0.552
27,anwandt,0.763,samhällstillstånd,0.662,konungadöme,0.598,sjöroman,0.568,tidsskildring,0.551,tidsskildring,0.551
28,framställning,0.762,omstöpning,0.661,statssystem,0.598,period,0.567,krisis,0.551,krisis,0.551
29,crisis,0.762,öfverlägsenhet,0.661,ärorik,0.597,skaldeverksamhet,0.567,tidsålder,0.55,härskare,0.55
30,otillgänglig,0.761,hafna,0.661,franklike,0.597,händelserne,0.566,sjöroman,0.549,sjöroman,0.549
31,werksamma,0.761,fortgående,0.661,julirevolutionen,0.593,metafysik,0.566,humanism,0.547,vesterlandet,0.548
