,sv_1800,sv_1800_d,sv_1820,sv_1820_d,sv_1840,sv_1840_d,sv_1860,sv_1860_d,sv_1880,sv_1880_d,sv_1900,sv_1900_d
18,tjen,0.771,lemnos,0.685,nderrättelse,0.597,arméfråga,0.594,förpligtiga,0.567,förpligtiga,0.569
19,sörs,0.771,nderrättelse,0.685,arrendevilkoren,0.597,ölverenskommelse,0.593,föreningsrätt,0.566,allianstraktat,0.568
20,lemnos,0.77,köpewilkor,0.684,tillkånnagifva,0.596,stamholländeristyrelsen,0.592,öfwerenskommelsen,0.566,öfwerenskommelsen,0.566
21,bltfwa,0.769,röva,0.682,skoltermin,0.594,alabamafrågan,0.592,kommelse,0.565,qvittning,0.564
22,hästa,0.767,tauvon,0.681,tordo,0.594,tidningsstämpeln,0.592,qvittning,0.564,landafträdelse,0.564
23,ätersä,0.766,upwisande,0.681,köpewilkor,0.593,mensamt,0.59,landafträdelse,0.564,myntkonferens,0.564
24,niding,0.763,hittlön,0.681,dolta,0.592,tillskyndelse,0.589,myntkonferens,0.564,bessarabiens,0.563
25,derlig,0.761,hennig,0.681,nyebro,0.592,nigras,0.588,bessarabiens,0.563,kurhessiska,0.563
26,kontanter,0.759,öswerenskommelse,0.68,sjeif,0.592,nordslesvigska,0.588,kurhessiska,0.563,conferensen,0.561
27,wedergällninz,0.758,sockerstånd,0.679,malan,0.591,wienerfördraget,0.588,conferensen,0.561,förbundsbeslut,0.561
28,dcraf,0.757,trpckeriet,0.679,medling,0.591,dansktysk,0.588,förbundsbeslut,0.561,telegrafkonvention,0.561
29,kaa,0.757,destillator,0.679,req,0.591,portonedsättning,0.588,telegrafkonvention,0.561,ratificering,0.561
30,emet,0.756,ätersä,0.677,wilkvr,0.59,irågan,0.587,ratificering,0.561,cirkulärnote,0.559
31,billi,0.755,anmale,0.677,trältas,0.59,landafträdelse,0.587,cirkulärnote,0.559,alliansfördrag,0.557
32,wedergäll,0.755,wedergällninz,0.677,afraktas,0.589,tanko,0.587,alliansfördrag,0.557,stormagterna,0.557
33,aflat,0.755,malan,0.677,underråttelse,0.588,centralmakt,0.587,stormagterna,0.557,ofwerenskommelse,0.557
34,orda,0.755,ästvndas,0.676,fsedrelandet,0.587,stefanofördraget,0.586,ofwerenskommelse,0.557,alabamafrågan,0.557
35,beffed,0.753,wedergälning,0.676,nyqvarns,0.587,tadelvotum,0.586,alabamafrågan,0.557,banförvaltning,0.556
36,ellee,0.753,beböfwer,0.676,tods,0.587,författningsfråga,0.586,öswerenskommelsen,0.556,öswerenskommelsen,0.556
37,adretze,0.753,halfar,0.675,brefvexlas,0.587,inträdo,0.586,ötverenskommelse,0.555,ötverenskommelse,0.555
38,gsd,0.753,wedergällniiig,0.674,hårå,0.586,wienerkabinettet,0.586,londonerprotokollet,0.555,londonerprotokollet,0.555
