,sv_1800,sv_1800_d,sv_1820,sv_1820_d,sv_1840,sv_1840_d,sv_1860,sv_1860_d,sv_1880,sv_1880_d,sv_1900,sv_1900_d
35,grans,0.777,armten,0.704,tractaten,0.594,rhenprovinserna,0.576,österrikistt,0.531,österrikistt,0.531
36,guadeloupe,0.777,bajern,0.703,slesvig,0.594,storhertigdöme,0.575,furstendöme,0.531,hessen,0.531
37,tyrol,0.777,grekiste,0.703,angelägenheterne,0.594,upphäswandet,0.575,servien,0.529,servien,0.529
38,nizza,0.777,integrera,0.702,holstein,0.593,elsatz,0.574,hessen,0.528,asturien,0.526
39,chi,0.776,bastista,0.702,tractat,0.593,utsöndring,0.572,landområde,0.528,braunschweigska,0.526
40,återkomst,0.776,whitworth,0.701,engeland,0.592,donaufurstendömenas,0.57,asturien,0.526,inkorporering,0.526
41,teir,0.775,flandern,0.701,vestmakternas,0.591,landsdelarne,0.57,braunschweigska,0.526,breussen,0.525
42,aftäg,0.775,kyrkostat,0.701,schleswig,0.59,förbundstrupperna,0.57,inkorporering,0.526,mexicos,0.525
43,kryssare,0.775,tyrol,0.701,gränsreglering,0.59,höghetsrätt,0.569,breussen,0.525,konungarike,0.524
44,montevideo,0.775,wapenhwilan,0.7,konungarike,0.589,prenssen,0.569,mexicos,0.525,slesvigs,0.524
45,fördrifwer,0.775,depot,0.7,truppernes,0.589,förbundsland,0.568,slesvigs,0.524,furstehus,0.524
46,blucher,0.775,tilfaller,0.7,portugall,0.588,augustenborgaren,0.568,personalunion,0.523,personalunion,0.523
