,sv_1760,sv_1760_d,sv_1780,sv_1780_d,sv_1800,sv_1800_d,sv_1820,sv_1820_d,sv_1840,sv_1840_d,sv_1860,sv_1860_d,sv_1880,sv_1880_d,sv_1900,sv_1900_d
24,utbetala,0.73,avantgarde,0.637,markte,0.558,afteckna,0.497,ödslig,0.46,bortilande,0.472,nedåt,0.483,kobbe,0.488
25,ätnöjas,0.727,iftän,0.636,rinder,0.557,jubla,0.497,ekipage,0.459,skogsbryn,0.471,grönskär,0.482,sidoväg,0.487
26,sultan,0.726,belägra,0.635,canonerne,0.556,spatsera,0.496,ofarbar,0.459,polcirkel,0.471,strandväg,0.482,cromer,0.486
27,reda,0.726,blockera,0.634,orörlig,0.555,ramla,0.496,tillfrusen,0.458,fram,0.47,torrskodd,0.482,framflytande,0.486
28,fåken,0.725,nord,0.633,vatten,0.554,fördämning,0.495,uppför,0.457,gunild,0.47,törbi,0.481,törnig,0.486
29,armeen,0.725,krysta,0.632,färdas,0.553,uppför,0.495,pasterade,0.457,hitåt,0.47,slottsgård,0.48,klipputsprång,0.485
30,förrätta,0.725,alexandria,0.632,återta,0.552,vättnet,0.495,knalla,0.456,ditin,0.47,alleén,0.48,vattenlilja,0.485
31,pohlen,0.724,udine,0.632,postera,0.551,landthus,0.494,uppföre,0.456,fpäret,0.469,midnattsstund,0.48,wimperfield,0.485
32,hwarannan,0.724,ofwerste,0.63,wistades,0.55,solstråle,0.493,stormvind,0.456,tangera,0.468,fram,0.479,rundt,0.485
33,wärst,0.723,signal,0.629,attaque,0.55,uppföre,0.493,gräfva,0.455,hitom,0.468,hölass,0.479,larfvade,0.484
34,plog,0.723,engelste,0.628,sevan,0.548,hammerfest,0.492,slädan,0.455,upptrampa,0.468,vimpelprydd,0.479,grusgrop,0.484
35,sakta,0.723,laudon,0.628,dagning,0.547,ödslig,0.492,trottoiren,0.455,ditkom,0.468,träffado,0.477,folkströmmen,0.484
36,fdr,0.723,trupparne,0.628,förtjust,0.544,susa,0.492,hafskust,0.454,sramät,0.466,folkströmmen,0.477,passera,0.484
37,uphöra,0.723,1797,0.627,twang,0.543,åska,0.492,nedför,0.454,horntullsgatan,0.466,larfvade,0.477,banad,0.484
38,trägen,0.723,framtränga,0.627,canon,0.543,wärst,0.491,kvill,0.454,elfl,0.466,vägne,0.476,lovart,0.483
39,buk,0.722,flagit,0.627,långsam,0.541,fastta,0.491,farbar,0.453,strandväg,0.465,kortégen,0.476,logedörr,0.483
40,benna,0.72,gibraltar,0.626,iian,0.541,hafvets,0.491,gångstig,0.452,mörkö,0.464,sporrstreck,0.476,bortslets,0.483
41,resolution,0.72,upkom,0.625,farwatten,0.54,kommendering,0.49,fyrsprång,0.452,pilsnabb,0.462,porthvalfvet,0.475,vesterut,0.483
42,flott,0.72,grans,0.625,marchen,0.54,enslig,0.49,öfvergafs,0.452,giulia,0.462,hitåt,0.475,hufvudgatan,0.482
43,oä,0.719,inlöpa,0.624,framtränga,0.539,tillströmma,0.49,gatsten,0.451,sommarmorgon,0.462,uppspringande,0.475,björkdunge,0.482
44,förlikning,0.719,dublin,0.623,ljuda,0.539,tankfull,0.488,isfri,0.451,qvälleu,0.462,iramåt,0.475,sumptrakter,0.482
45,förn,0.719,cairo,0.623,undankomma,0.538,piska,0.488,trankil,0.45,framspränga,0.461,foro,0.475,slingring,0.482
46,nedlägga,0.718,passera,0.623,ätande,0.538,uppehöllo,0.488,sjöö,0.45,sigmund,0.461,pilsnabb,0.475,gräfvande,0.481
47,nb,0.717,sicilien,0.621,marcherade,0.537,bulta,0.488,lupo,0.45,framflyta,0.46,uppförsbacke,0.475,hunde,0.48
