,agitatsiooni,aiheuttaa,aika,aikainen,aikaisempi,aikakausi,aikaväli,ajanjakso,ajankohta,akatemia,ala,alamainen,alku,alue,alueellinen,arkisto,arkistoida,artikkeli,artikla,asema,assosioida,asukas,avustaa,demokratia,edistynyt,eduskunta,eheys,entinen,eri,erilainen,erkaantua,erottaa,esittää,etu,euroopan,eurooppa,eurooppalainen,hallinnallinen,hallintojärjestelmä,hallitus,hallitusaika,hallitusmuoto,herttua,hetki,historia,historiallinen,historian-,historiankirjoittaja,historiankirjoitus,historioitsija,hyöty,idea,ihminen,ihmis-,inhimillinen,intellektuelli,intressi,irrottaa,irtautua,isänmaa,itsellisyys,itsemääräys,jakaa,jakautua,johtaja,julkaista,julkinen,jäsen,kannattaa,kansa,kansalainen,kansallinen,karjalainen,kartta,kausi,kehittynyt,keisari,kenraali,keski-,keskiaika,keskitetty,keskus-,keskustella,kieli,kiisttanalainen,kirjoitus,kolkka,komento,konsepti,korkeatasoinen,kotimaan,kotimainen,koulu,kruunu,kulmakunta,kuningas,kunta,kysymys,käsitellä,käsitys,laatu,laki,lausunto,lehti,liberaali,liittää,luku,luoda,luonne,luonto,luovutettu,luovuttaa,maa-alue,maakunta,maantieteellinen,markka,mielenilmaus,mielikuva,ministeristö,mobilisaatio,moraali,muodollinen,muodostaa,muodostua,muotoutua,muuttaa,myytti,määräys,napoleon,neuvotella,oikeus,oppilaitos,osa,osallistua,paikallinen,paikallis-,painattaa,parlamentti,periaate,periodi,perustaa,pietari,puhe,puolustaa,pykälä,päätös,raha,rahoittaa,raja-,rajaseutu,ratkaisu,res publica,retoriikka,riidanalainen,riitainen,riski,ruotsalainen,ruotsi,sanomalehti,senaatti,seutu,sisä-,sisäinen,skandinavia,sopimus,status,suojella,suomi,synnyttää,syntyä,sääntö,sääty,talous,tarkastella,tarkoitushakuinen,tasa-arvo,tiede,traktaatti,tsaari,tukea,tuottaa,uhka,uskomus,vaara,vaihe,vaihtaa,vallanpitäjä,valtiomuoto,valtionjohto,valtiopäivät,valtiosääty,valuutta,vanha,varhainen,varhais,vastalause,venäjä,vertailu,virallinen,virkamies,vuosisata,yhdistyä,yhdistää,yhteistoiminta,yhteistyö,yhteys,yksimielisyys,yleinen,yleis-,yliopisto,dynastinen,edustajisto,edustus,hallinto,hallitsija,herttuakunta,itsenäinen,järjestelmä,kansakunta,kansanedustus,keisarikunta,keisarilinen,koskemattomuus,kulttuuri,kuningaskunta,kuninkaallinen,loukkaamattomuus,lääni,mahti,monarkki,nyky,oikeudet,osavaltio,perustuslaki,pohjoismainen,politiikka,provinssi,raja,rauha,ruhtinaskunta,sivistys,sosiaalinen,sota,suomalainen,suuriruhtinaskunta,suurvalta,suvereeni,suvereenius,toimivalta,vaihtoehto,valta,valtakunta,valtias,valtio,valtiosääntö,valtioviisaus,venäläinen,voima,yhteiskunnallinen,yhteiskunta,yhteisö,älykkö,älyllinen,year
1868,0,0,5173,158,0,114,0,0,0,21,826,389,1057,66,0,59,1,0,12,158,0,398,0,0,0,42,0,1652,950,125,2,132,219,702,0,0,1,0,0,1356,1,37,58,314,437,145,0,0,0,6,506,1,2596,0,15,0,27,4,7,214,0,0,1232,6,311,169,2156,1242,157,2915,194,128,37,179,193,0,639,119,0,14,0,0,298,2206,0,563,4,12,1,0,0,88,1386,597,6,568,802,765,30,136,476,1067,129,2032,2,237,591,453,88,625,0,22,1,481,11,5046,0,0,37,0,0,2,40,61,0,920,2,367,0,4,2635,105,3865,0,8,0,74,112,2,0,608,0,938,132,87,1527,2386,1,0,1,4,0,0,1,11,5,568,450,669,735,504,0,1,0,15,0,104,880,186,1047,608,603,180,131,0,0,112,2,65,2320,523,6,1,68,48,16,0,0,0,2,1,3,533,6,0,7,124,1,539,101,81,125,181,0,1,336,12,1037,0,297,0,0,0,64,78,0,31,17,56,0,93,0,1,0,4,146,0,3839,91,0,15,0,0,31,0,0,0,313,589,2,19,0,490,1722,0,0,0,0,0,0,242,146,3,104,0,0,164,364,38,64,7,0,3,1868
1869,0,0,6320,141,0,155,0,9,2,14,1074,494,1403,66,1,72,0,1,10,292,0,475,2,1,0,13,1,2145,1586,154,1,120,435,843,0,0,16,0,0,1793,0,61,146,425,740,262,0,1,0,24,682,2,2433,0,19,0,34,2,5,321,0,0,1345,16,430,284,2774,1872,187,3699,258,318,54,151,181,1,921,128,0,11,0,0,465,2009,0,831,6,10,1,0,0,112,2662,803,3,745,1399,1307,117,218,601,1228,142,3120,0,314,775,647,110,771,0,38,0,697,23,5916,0,2,45,0,0,9,80,91,0,1035,3,626,0,4,3691,232,4357,2,9,0,154,185,23,0,898,0,1389,234,136,2110,2768,0,0,2,7,0,0,6,11,4,1093,712,975,686,640,0,2,0,39,0,141,1275,230,1289,786,620,162,139,0,0,201,2,79,2903,666,7,1,103,64,41,2,0,0,16,10,9,698,5,0,15,97,2,571,147,75,201,361,0,0,372,65,1775,0,576,0,0,2,93,177,1,96,25,55,0,81,0,1,0,12,126,0,4606,122,1,49,0,0,112,0,0,0,325,571,3,34,0,585,2921,6,0,0,0,0,0,279,124,11,215,6,1,222,388,132,158,7,0,0,1869
1870,0,0,6217,142,0,126,0,0,0,22,1423,322,1589,144,2,73,0,7,9,369,0,498,0,2,0,33,3,1987,1636,201,2,130,449,858,0,0,6,0,0,2069,0,40,190,505,656,240,0,2,0,15,760,1,2593,0,15,0,29,8,15,320,0,0,1430,13,418,341,2056,1946,168,3629,248,221,101,204,252,0,1116,692,0,9,0,0,442,2526,0,827,8,18,0,0,0,124,2614,818,5,952,1367,1281,47,141,717,1686,198,3693,1,469,907,892,144,703,0,16,0,532,25,5525,0,0,42,0,0,4,91,88,0,1325,1,441,0,7,2283,146,5182,0,18,0,181,121,5,0,841,0,1276,346,148,1853,2629,1,0,2,0,0,0,11,15,3,1163,658,890,697,701,0,1,0,43,0,275,1241,248,1270,748,441,184,138,0,1,216,1,39,3215,697,20,1,192,86,33,2,0,0,6,0,14,915,4,0,28,244,6,665,171,128,296,388,0,0,445,39,1703,0,659,0,0,4,88,125,2,59,18,73,0,95,0,2,0,17,78,0,3843,96,0,46,0,0,106,0,0,0,635,1001,3,26,0,1732,3367,0,0,0,0,0,0,508,163,13,241,1,2,295,603,78,81,4,0,2,1870
1871,0,0,7811,192,0,252,0,1,0,47,2017,480,1929,161,0,158,1,5,7,468,0,749,1,0,0,97,0,2462,1929,220,3,88,615,902,0,0,8,0,0,2636,1,80,145,600,886,424,0,0,0,18,895,4,3394,0,27,0,50,2,5,461,0,0,1610,12,535,493,2332,2437,249,4946,355,436,53,190,306,1,1465,839,0,26,0,0,697,2878,0,1228,19,31,4,0,0,129,3800,836,6,986,1943,2241,49,346,828,1469,330,4325,0,418,1049,812,285,835,0,10,1,813,17,7645,0,1,118,0,0,5,146,82,0,1594,1,782,0,4,2964,267,5480,4,19,0,268,177,40,0,1274,0,1504,498,206,2677,2984,1,0,1,17,0,0,10,14,10,1783,834,1626,729,807,0,1,0,78,0,267,1494,321,1544,873,763,207,193,0,0,275,0,48,3875,950,10,0,183,115,62,3,0,0,17,1,19,1275,21,0,37,179,6,913,183,150,202,465,0,0,591,57,2217,0,1140,0,0,8,114,182,3,91,26,111,0,163,0,1,0,40,91,0,4582,82,2,32,0,0,77,1,0,0,520,1135,2,52,0,1708,4403,11,0,0,0,0,0,516,292,13,341,5,0,263,787,110,91,3,0,2,1871
1872,0,0,7594,209,0,156,0,6,0,46,1475,674,1748,126,0,54,1,52,7,400,0,669,4,2,0,79,0,2151,2119,226,1,76,609,870,0,0,5,0,0,2306,2,119,86,510,703,285,0,0,0,6,875,9,3280,0,21,0,11,1,4,458,0,0,1685,30,659,615,1918,2846,299,4224,324,340,78,262,339,1,1068,202,0,26,0,0,709,2556,0,1229,13,12,2,0,0,199,4980,774,8,787,1745,2204,61,353,764,2089,611,3738,2,570,1049,941,246,786,0,11,1,546,34,6989,0,0,54,0,0,8,150,103,0,2191,0,967,0,5,3255,524,5030,0,33,0,258,41,59,0,1777,0,1789,839,236,3334,2939,2,0,1,20,0,0,2,19,2,1988,1031,1658,712,641,0,2,0,65,0,184,1591,376,1651,1193,5385,356,165,0,0,228,0,56,3603,952,10,0,149,82,59,3,0,0,9,7,7,1178,29,0,420,213,12,837,264,97,833,500,0,0,522,59,2642,0,896,0,0,24,191,170,1,85,46,59,0,120,0,0,0,21,96,0,4437,53,0,19,0,0,73,0,0,0,387,788,2,26,0,715,4910,3,0,0,0,0,0,417,241,6,626,3,1,318,713,115,104,1,0,3,1872
1873,0,0,8458,174,0,211,0,11,0,96,1277,735,1988,145,1,80,1,15,15,417,0,575,2,0,0,52,0,2143,1896,148,5,55,547,845,0,0,17,0,0,2008,1,61,132,637,1009,234,0,2,0,14,1000,0,3542,0,24,0,14,2,16,497,0,0,1563,19,583,533,2092,2632,303,4243,424,262,80,267,296,5,1218,312,0,14,0,0,467,2618,0,1206,13,52,9,0,0,173,4006,655,14,1498,1855,1584,59,254,705,1799,417,3913,0,438,1070,1084,179,909,0,4,0,497,37,7393,1,0,43,0,1,8,145,64,0,1598,1,811,0,1,2954,302,5421,0,16,0,285,51,33,0,1532,0,1680,322,145,2661,3371,0,0,7,7,0,0,6,14,9,2003,948,1391,826,764,0,5,0,85,0,258,1467,331,1600,1043,811,280,147,0,0,211,0,139,3575,906,10,1,181,106,58,6,0,0,1,7,14,1093,14,0,46,168,5,884,179,126,205,392,0,0,573,61,1866,0,689,0,0,1,118,203,1,85,31,95,0,98,0,0,0,26,127,0,3834,84,0,27,0,0,56,14,0,0,448,733,0,18,0,832,4866,2,0,0,0,0,0,450,239,17,297,1,0,321,698,121,172,2,0,1,1873
1874,0,0,7860,141,0,171,0,3,0,48,1331,608,2042,194,1,49,2,29,2,460,0,554,3,1,0,96,1,1901,1713,127,4,49,582,792,0,0,12,0,0,1887,2,67,310,662,948,292,0,1,0,19,831,2,3440,0,21,0,17,1,14,451,0,0,1515,12,815,511,1492,2934,259,3885,368,305,68,256,300,1,924,265,0,20,0,0,424,2056,0,1145,21,21,41,0,0,165,3890,661,9,762,2033,1580,67,286,658,2277,421,3121,0,473,964,959,195,798,0,9,0,542,26,7150,0,0,22,0,0,1,149,89,0,1476,1,725,0,2,2422,453,5591,1,11,0,262,74,29,0,1712,0,1569,291,178,1977,3406,1,0,5,8,0,0,14,27,3,1688,960,1431,772,758,0,5,0,100,0,243,1381,291,1513,985,695,257,108,0,0,211,0,67,2964,808,16,0,140,99,42,2,0,0,4,1,22,1022,15,0,22,155,4,651,147,116,184,430,0,0,510,45,1784,0,599,0,0,1,133,117,4,108,49,84,0,74,0,0,1,21,75,0,3584,76,0,58,0,0,52,6,0,0,322,714,0,32,0,795,4571,2,0,0,0,0,0,383,208,10,322,1,0,427,654,162,193,0,0,0,1874
1875,0,0,9562,179,0,202,0,14,0,31,1692,626,2226,199,2,74,0,23,2,588,0,698,1,0,0,49,1,2175,2367,207,10,84,855,1109,0,0,10,0,0,1779,1,59,101,779,1494,418,0,1,0,19,1116,3,4078,0,35,0,27,2,12,586,0,1,1816,12,669,548,1710,3307,370,5287,535,373,64,212,325,5,937,192,0,23,0,0,626,2297,0,1465,31,18,88,0,0,188,4982,749,12,1287,2136,2356,86,335,1042,1996,521,4344,3,725,1313,1391,279,997,0,17,0,404,28,7423,1,0,27,0,0,16,151,112,0,1860,1,887,0,4,2884,304,6000,2,29,0,283,58,63,0,1974,0,2086,398,175,2514,3779,1,0,2,11,0,0,1,22,2,2112,1159,1668,988,1030,0,2,0,71,1,244,1678,291,1684,1068,438,310,207,0,0,212,0,95,4411,989,12,8,165,128,51,0,0,0,15,1,15,1136,10,0,39,154,8,618,177,140,180,416,0,0,631,54,2964,0,617,0,0,6,175,152,1,143,65,142,0,67,0,0,0,37,109,0,3711,100,0,45,0,0,49,4,0,0,476,886,0,36,0,1092,4866,1,0,0,0,0,0,437,243,15,340,6,0,393,713,116,213,2,0,6,1875
1876,0,0,13001,276,0,279,0,13,1,103,1945,686,2878,296,3,101,0,27,32,991,0,803,2,0,0,60,0,2978,3017,229,2,99,1363,1632,0,0,14,0,0,2745,8,29,675,1101,1800,508,0,5,1,41,1290,4,5339,0,64,0,4,13,15,867,0,0,2188,32,926,934,2070,4070,506,7552,776,722,77,368,444,7,1812,437,0,18,0,0,810,3861,0,1931,41,42,40,0,0,237,5834,891,22,1771,3266,3178,119,505,1237,2469,758,5754,0,819,1605,1668,481,1322,0,28,0,655,82,9689,0,0,40,0,0,4,232,176,0,2611,1,994,0,8,3987,316,7583,2,37,0,429,82,102,0,2091,0,2810,638,370,3020,4496,2,0,4,11,0,0,11,37,5,2820,1240,2695,991,1342,0,2,0,231,1,405,2212,504,2378,1213,915,400,300,0,1,351,0,156,4506,1380,14,3,226,146,54,1,2,0,31,2,16,1400,11,0,87,174,11,640,280,215,345,605,1,2,960,89,4263,0,971,0,0,6,181,351,7,162,135,136,0,152,0,0,1,32,264,0,4700,146,0,77,0,0,72,7,1,0,776,1666,17,77,0,2160,7256,6,6,0,0,0,0,582,495,24,404,2,0,585,991,317,287,0,0,3,1876
1877,0,0,17526,422,0,424,0,25,3,61,2328,1189,3436,378,2,97,0,28,7,2835,0,1319,5,0,0,42,3,3616,4000,318,4,109,1914,2279,0,0,31,0,0,4078,4,68,221,1888,1691,513,0,2,0,23,1490,6,6419,0,114,0,18,9,15,1237,0,0,2979,31,1071,1094,2076,5559,925,8907,1078,671,109,524,545,5,2433,2081,0,71,0,0,1245,5281,0,2732,36,99,166,0,0,561,8296,1408,17,1349,4738,4614,452,476,1677,3732,1008,7592,5,928,2323,1644,499,1677,0,18,4,666,69,12533,2,1,104,0,2,12,597,197,0,4407,1,2107,0,17,5503,782,9632,0,79,0,485,90,312,0,3338,1,3419,2101,918,5317,5656,1,0,6,45,0,0,6,45,6,3136,1857,2734,1110,2071,0,15,0,272,0,735,3169,592,3438,1631,11261,641,358,0,2,352,0,105,4512,1932,26,1,266,162,90,0,2,0,73,4,3,1392,16,0,945,236,13,844,420,246,997,1059,0,0,1460,151,5628,0,1546,0,0,26,305,334,3,173,243,191,0,298,0,4,0,26,140,0,5293,136,0,64,0,0,225,27,2,0,1202,2642,37,86,0,5422,9709,10,1,0,0,2,0,770,508,26,877,0,0,2411,1083,462,495,2,0,11,1877
1878,0,0,23420,562,0,517,1,13,5,118,3461,1278,4213,665,8,237,2,38,14,2891,0,2055,6,8,0,85,3,4977,5101,489,8,200,1876,2939,0,0,20,0,0,6971,6,96,636,2234,2765,808,0,0,2,37,2001,3,8631,0,151,0,15,19,33,1575,0,1,3921,43,1834,1257,2907,6399,1035,11240,1140,1319,115,856,831,9,3356,1821,0,98,0,0,1564,4931,0,3691,66,99,200,0,0,526,9629,1922,36,2582,5150,6114,302,732,1999,3530,1053,11480,2,1046,2736,2094,735,2143,0,68,8,1438,157,19208,0,0,234,0,0,28,891,326,0,4529,2,1934,0,53,6254,601,13001,2,66,0,548,583,301,0,3781,0,4706,1326,739,6205,8098,5,0,30,122,0,0,27,48,11,3215,1924,4398,1298,2307,0,16,0,881,0,876,3194,797,4313,1716,3736,706,394,0,0,475,1,94,5051,2263,61,1,440,297,160,4,2,0,90,19,39,2257,50,0,221,378,12,1003,526,314,531,1065,0,1,1732,246,6009,0,1855,0,0,28,391,564,1,445,232,279,0,182,0,1,0,87,355,0,6638,211,0,72,0,0,179,6,16,0,2287,4997,490,215,0,7808,11956,19,4,0,0,0,0,1222,696,34,869,4,7,2307,1420,362,551,5,0,9,1878
1879,0,0,26803,553,0,676,1,21,1,126,3680,1391,5174,999,4,215,1,96,99,2124,0,2071,2,8,0,72,8,5392,5650,524,7,209,1831,2475,0,0,18,0,0,6671,3,135,440,2291,2723,709,0,7,0,34,2432,7,10011,0,173,0,6,20,39,1492,0,0,4349,47,2300,1482,3303,8382,1151,13355,1546,1787,172,705,881,18,3724,927,0,93,0,0,1896,8303,0,4367,57,81,228,0,0,780,12070,2660,26,3340,8241,6317,271,982,2240,4185,1506,11494,3,1266,3426,2531,818,2302,0,97,2,1249,129,21675,3,2,367,0,1,36,750,432,0,5070,7,2334,0,58,7708,1157,13789,2,79,0,504,407,233,1,5249,1,5292,1226,524,7093,8979,2,0,12,57,0,0,33,31,15,4184,2155,4053,1647,2762,0,12,0,598,0,722,4196,1030,5657,2108,1816,679,423,0,3,573,1,248,6269,2764,41,2,565,323,162,4,0,0,71,55,49,2834,44,0,107,482,16,928,742,356,478,1147,0,4,1873,235,6799,0,1900,0,0,25,466,510,12,372,215,225,0,307,0,1,2,64,362,0,10926,275,3,119,0,0,203,11,16,0,1824,3092,153,265,0,4342,16120,14,3,0,0,1,0,1238,682,24,1098,1,7,1433,1611,454,761,7,0,8,1879
1880,0,0,26199,521,0,632,0,20,2,98,3797,1356,5269,1181,2,204,0,66,25,2634,0,1697,1,12,0,98,4,5240,5481,507,13,186,2200,2590,0,0,28,0,0,6324,60,85,335,2464,2643,836,0,2,1,46,1998,4,10124,0,140,0,0,21,32,1474,0,0,4386,50,2359,1461,3221,8177,1136,14116,1754,1782,340,517,879,16,5062,590,0,75,0,0,1618,8446,0,4929,120,85,175,0,0,577,11187,2287,24,2638,8591,6486,328,828,2083,4387,1598,12876,4,1250,3077,2617,763,2179,0,96,7,846,190,22488,2,0,322,0,3,23,878,414,2,4941,0,2312,0,26,7721,733,13067,0,70,0,595,535,251,0,5018,0,5889,1128,559,6780,7943,0,0,10,78,0,1,28,60,16,5333,2450,4850,1697,2439,0,13,0,430,3,819,4203,1042,5322,2071,1692,633,404,0,8,468,0,134,5619,2467,30,1,477,345,169,13,2,0,51,22,39,2795,28,0,140,340,19,1034,757,454,480,1191,4,1,1643,315,6589,0,1975,0,1,28,366,830,8,388,172,254,0,264,0,2,0,115,318,0,9649,299,8,99,0,0,198,15,5,0,1746,3144,81,152,0,3276,15565,50,3,0,0,0,0,1057,838,41,909,0,2,1176,1809,467,625,12,0,2,1880
1881,0,0,27051,558,0,788,1,38,1,176,4625,1116,5594,951,3,240,2,68,2,3197,0,1969,4,11,0,142,0,6011,6880,512,14,238,2555,2867,0,0,30,0,0,5998,28,166,242,2525,3326,1289,0,7,0,64,2388,10,11324,0,208,0,3,15,50,2452,0,0,4738,59,2335,1651,3163,8856,1396,16880,2323,2462,219,644,897,18,8116,896,0,164,0,0,1886,9650,0,5371,89,61,201,0,0,788,9804,2238,22,2677,7508,7371,460,950,2515,4784,1808,15021,168,1425,3448,3055,854,2162,0,59,2,956,339,20302,0,0,242,0,4,57,971,403,0,5300,3,2210,0,32,7467,863,14779,0,118,0,719,506,605,0,5208,2,6662,1577,525,6563,8508,0,0,4,72,0,0,26,63,20,5180,2434,5357,2528,3042,0,40,0,574,1,961,4269,1122,5887,2152,2309,849,513,0,9,923,3,241,6401,2932,36,0,445,320,167,25,9,0,117,52,42,2974,16,0,219,526,23,1097,704,524,637,1290,0,7,2061,238,8236,0,2888,0,1,86,415,1051,1,401,320,287,0,348,0,0,15,172,377,0,9935,324,8,66,0,0,253,38,22,0,1696,3223,24,122,6,3468,15860,111,1,0,0,0,0,1027,789,32,1126,6,3,1193,1839,498,660,2,0,12,1881
1882,0,0,34094,746,0,647,0,110,4,170,5819,2273,7120,827,11,262,0,108,53,5358,0,2245,2,6,0,288,10,7164,8613,790,26,449,4344,4273,1,6,481,0,2,7798,21,257,420,2825,3287,959,0,14,16,85,3488,2,12731,0,181,0,3,11,55,2746,0,0,6141,77,2841,1739,3843,11600,2302,18040,2252,2095,175,754,1144,34,5173,1261,0,149,0,0,2449,10025,0,6089,94,69,151,0,0,839,12451,2433,27,3064,9419,8538,1156,1072,3270,7703,2583,18426,209,2119,4218,4159,1118,2811,0,124,2,1023,158,24836,1,0,289,0,3,133,1485,663,0,8095,14,3127,0,23,10002,1081,19118,6,200,0,799,462,1116,2,6368,1,7262,2970,1189,10935,9842,3,0,31,170,0,0,59,76,6,6377,2770,5537,4338,3538,0,41,0,801,4,1248,5330,1302,7180,2582,14742,1033,646,0,5,859,0,240,7419,3800,57,10,531,246,178,10,2,0,162,251,62,3089,32,0,707,548,33,1484,642,481,1311,1800,31,6,2357,321,10284,0,3513,0,0,90,637,1143,7,456,426,254,0,279,0,0,9,136,333,0,12685,386,6,79,0,0,407,25,12,4,1805,3386,40,299,0,3418,18495,109,15,0,0,0,0,1209,561,24,1457,3,9,1105,2230,744,1056,5,1,9,1882
